sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.2801;4.4742;9.1548;0.6607;2.7821;9.3805;-0.9408;1.6921;-0.2257;-0.0194;-0.6876;0.0882;0.0;-14.82;-11.22;-49.98;72.79;-17.29;-0.83;8.0;997.62;39.777;44.235313;-76.48935;261.29;NaN;;0.0;45.16129;;7 / 24;21;2020-11-11 01:08:44:773
1.913;5.53;8.6688;1.3689;3.6235;9.0093;0.5441;1.9065;-0.3405;-1.8666;-1.0687;-0.4879;0.0;-15.54;-11.04;-49.92;61.59;-20.58;-2.43;8.0;997.67;50.904;44.235313;-76.48935;261.29;NaN;;0.0;45.16129;;7 / 24;521;2020-11-11 01:08:45:273
1.245;6.0232;19.6127;0.5765;3.6389;9.0883;0.6685;2.3843;10.5244;1.8445;0.2668;0.8775;0.0;-17.94;-7.44;-49.38;70.83;-14.82;-1.3;8.0;997.71;47.414;44.235313;-76.48935;261.29;NaN;;0.0;45.16129;;7 / 24;1021;2020-11-11 01:08:45:773
-0.5531;4.3568;4.6849;0.1656;4.0495;8.93;-0.7187;0.3073;-4.2451;0.8951;0.127;-0.3513;0.0;-21.18;-4.32;-48.6;49.66;-18.62;-7.09;8.0;997.68;41.539;44.235348;-76.489334;258.06;NaN;;6.16;48.387096;54.1;7 / 25;1521;2020-11-11 01:08:46:273
-3.802;5.135;12.8443;1.8734;4.0078;8.752;-0.5422;-0.4482;3.4721;-2.6682;-2.9881;-1.3558;0.0;-22.38;-9.78;-47.52;43.85;-24.12;-12.08;8.0;997.69;33.941;44.235348;-76.489334;258.06;NaN;;6.16;48.387096;54.1;7 / 25;2022;2020-11-11 01:08:46:774
5.1332;-3.9822;-5.1266;0.4954;5.6378;8.0088;3.218;-7.774;-8.481;-0.1017;-0.841;0.3923;0.0;-22.5;-13.14;-46.02;49.14;-35.09;-3.54;8.0;997.69;45.637;44.23536;-76.48929;258.06;NaN;;12.02;35.48387;78.9;7 / 25;2520;2020-11-11 01:08:47:272
5.1523;-2.1626;16.6918;-0.1213;5.3418;8.2232;5.2736;-7.5044;8.4686;2.1465;2.5526;0.2945;0.0;-25.62;-14.64;-42.0;73.83;-29.59;0.35;8.0;997.72;47.239;44.23536;-76.48929;258.06;NaN;;12.02;35.48387;78.9;7 / 25;3021;2020-11-11 01:08:47:773
-6.2824;2.4942;1.6682;0.4438;5.1191;8.3527;-6.7262;-2.625;-6.6846;1.5329;1.4591;0.7571;0.0;-24.6;-16.14;-41.94;75.13;-23.06;-14.42;8.0;997.68;54.319;44.235394;-76.489235;251.61;NaN;;14.83;32.258064;78.9;7 / 25;3521;2020-11-11 01:08:48:273
19.2135;8.2163;19.6127;4.2403;2.4713;8.4901;14.9731;5.745;11.1226;-3.6999;-2.6901;-0.9297;0.0;-23.1;-15.72;-43.2;73.92;-21.58;-16.99;8.0;997.65;61.158;44.235394;-76.489235;251.61;NaN;;14.83;32.258064;78.9;7 / 25;4021;2020-11-11 01:08:48:773
2.5546;-5.603;-4.2359;1.4721;6.1905;7.462;1.0825;-11.7936;-11.6979;-1.1579;-1.0024;0.7758;0.0;-27.0;-16.14;-39.72;39.92;-37.67;-18.21;8.0;997.75;58.962;44.235424;-76.489204;251.61;NaN;;15.19;29.032257;69.5;7 / 25;4521;2020-11-11 01:08:49:273
-0.2466;-6.1896;-0.9056;-0.5974;5.7728;7.905;5.9532;4.991;10.1299;-2.4339;1.4674;-0.171;0.0;-29.58;-21.66;-35.52;86.46;-36.06;4.32;8.0;997.71;57.825;44.235424;-76.489204;251.61;NaN;;15.19;29.032257;69.5;7 / 25;5021;2020-11-11 01:08:49:773
1.0846;7.9841;18.6;3.4991;-0.9995;9.1064;-12.5349;7.8271;-9.4374;1.7955;1.0535;0.7979;0.0;-28.5;-24.3;-34.98;154.3;5.85;-21.02;8.0;997.67;49.046;44.23544;-76.48918;254.84;NaN;;9.83;29.032257;60.6;7 / 25;5522;2020-11-11 01:08:50:274
-3.1771;10.4309;-4.7291;2.2562;1.506;9.424;-5.4333;8.9249;-14.1531;0.1462;0.9215;0.4147;0.0;-26.76;-24.84;-36.78;156.01;-2.86;-23.36;8.0;997.7;50.079;44.23544;-76.48918;254.84;NaN;;9.83;29.032257;60.6;7 / 25;6022;2020-11-11 01:08:50:774
1.2594;-3.3477;9.8156;0.6166;4.954;8.4409;0.6427;-8.3017;1.3748;-1.4251;-2.0847;-0.5252;0.0;-27.54;-24.18;-37.08;91.99;-37.65;14.13;8.0;997.72;50.392;44.235455;-76.48915;251.61;NaN;;11.63;25.806452;68.0;7 / 25;6521;2020-11-11 01:08:51:273
5.9616;-6.2064;5.0943;-1.2817;6.6212;7.1195;7.2433;-12.8276;-2.0252;-0.5398;0.4016;-0.0868;0.0;-29.1;-23.7;-36.06;97.71;-28.49;0.02;8.0;997.85;47.642;44.235455;-76.48915;251.61;NaN;;11.63;25.806452;68.0;7 / 25;7021;2020-11-11 01:08:51:773
8.5545;4.6681;17.9918;3.0836;3.0373;8.7998;-5.6502;4.942;-0.6745;1.4035;2.2682;-0.1092;0.0;-31.38;-23.76;-33.96;118.32;-18.04;-19.31;8.0;997.67;45.304;44.23547;-76.48912;251.61;NaN;;10.3;22.580645;75.0;7 / 25;7521;2020-11-11 01:08:52:273
-8.181;8.3839;8.5323;4.2961;1.9621;8.5944;-6.5443;6.8336;9.8332;0.914;1.6517;0.689;0.0;-29.28;-26.1;-32.7;146.62;-11.54;-26.56;8.0;997.64;44.064;44.23547;-76.48912;251.61;NaN;;10.3;22.580645;75.0;7 / 25;8021;2020-11-11 01:08:52:773
9.6007;14.8315;19.6127;1.4361;1.1346;9.6344;8.1646;13.6969;9.9784;-4.8746;-3.3415;-1.6147;0.0;-26.64;-27.36;-34.32;120.02;-14.97;9.12;8.0;997.67;51.536;44.23549;-76.48909;254.84;NaN;;9.54;22.580645;71.9;7 / 25;8522;2020-11-11 01:08:53:274
-1.9417;-3.7092;4.1557;-0.6531;3.3203;9.2043;-1.2886;-7.0295;-5.0486;-0.5414;0.3404;1.0397;0.0;-27.42;-22.5;-38.1;93.74;-29.5;6.38;8.0;997.67;50.39;44.23549;-76.48909;254.84;NaN;;9.54;22.580645;71.9;7 / 25;9021;2020-11-11 01:08:53:773
3.2226;7.4741;19.6127;1.8082;0.5566;9.6224;1.4144;6.9175;9.9903;2.3345;1.9255;-0.0807;0.0;-27.6;-19.44;-40.32;162.27;18.76;-22.39;8.0;997.62;43.688;44.235508;-76.48903;254.84;NaN;;12.67;22.580645;69.7;7 / 25;9521;2020-11-11 01:08:54:273
-7.3885;9.8827;0.7727;1.4773;-5.4192;8.0387;-8.8658;15.3019;-7.2659;-0.6285;0.322;-1.0314;0.0;-25.2;-21.6;-40.32;144.19;16.75;-1.87;8.0;997.71;49.978;44.235508;-76.48903;254.84;NaN;;12.67;22.580645;69.7;7 / 25;10021;2020-11-11 01:08:54:773
-4.2856;7.5747;19.6127;2.8217;-1.2629;9.3066;2.6275;2.1506;-1.8541;-0.3779;-0.4306;-1.1124;0.0;-23.52;-23.22;-40.86;158.94;7.4;-16.87;8.0;997.71;55.659;44.235527;-76.48897;264.52;NaN;;15.16;22.580645;68.5;7 / 25;10524;2020-11-11 01:08:55:276
3.1508;-1.2025;-3.2711;3.0799;-3.007;8.8115;3.0565;1.0695;-7.7323;-1.5878;-0.8187;0.1374;0.0;-26.22;-22.08;-39.78;162.11;17.86;-19.27;8.0;997.72;61.505;44.235527;-76.48897;264.52;NaN;;15.16;22.580645;68.5;7 / 25;11021;2020-11-11 01:08:55:773
