sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-10.6374;-0.8314;6.708;-8.4605;-2.1909;4.4486;-2.1769;1.3595;2.2593;1.7055;-0.1481;1.2541;0.0;14.76;23.46;-38.46;70.79;22.67;63.88;0.0;997.36;48.77;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;8544;2020-11-11 01:31:21:613
-0.6129;3.3034;7.1916;-2.1614;2.6314;9.1964;1.5485;0.672;-2.0048;0.8807;-0.7257;0.3665;0.0;12.48;13.62;-44.46;358.83;-13.53;14.63;0.0;1000.12;59.254;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;9044;2020-11-11 01:31:22:113
-6.2489;-4.9327;10.1652;-4.4981;-2.5468;8.3337;-1.7508;-2.3859;1.8314;-1.3508;0.5268;-0.6117;0.0;13.08;14.64;-44.1;359.16;-11.32;16.02;0.0;997.17;54.5;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;9544;2020-11-11 01:31:22:613
-3.4429;1.2276;8.0439;-3.2061;1.2382;9.1847;0.2493;-0.3051;0.018;-1.7726;1.1633;-0.7505;0.0;12.66;15.24;-44.1;6.15;-7.25;19.24;0.0;997.93;45.119;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;10044;2020-11-11 01:31:23:113
-5.4803;-0.8817;8.2426;-4.6694;-0.127;8.6227;-1.2347;-0.6158;1.0397;1.0922;-0.6258;0.3582;0.0;12.24;15.84;-43.5;57.42;8.84;34.68;0.0;997.99;59.454;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;10544;2020-11-11 01:31:23:613
-3.541;0.5477;8.9896;-3.8004;-0.0715;9.04;0.1612;-0.0704;0.2345;-1.3225;0.8272;-0.9329;0.0;12.3;14.28;-43.8;3.5;-11.36;17.0;0.0;999.8;53.096;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;11044;2020-11-11 01:31:24:113
-4.6256;1.242;10.055;-4.6222;-0.4326;8.6382;-1.0353;-0.6501;0.9237;1.6288;-1.4496;0.4535;0.0;14.64;15.96;-42.9;26.77;2.53;28.15;0.0;998.43;59.671;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;11544;2020-11-11 01:31:24:613
-5.6024;-4.4801;9.8827;-4.6462;-3.2745;7.9913;-0.9563;-1.2057;1.8913;-0.5385;-0.0455;-0.2072;0.0;14.64;16.26;-43.14;51.52;12.74;28.27;0.0;997.36;65.115;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;12044;2020-11-11 01:31:25:113
0.0766;3.4279;4.9841;-2.6199;2.3963;9.1413;2.6965;1.0316;-4.1572;1.5446;-0.727;0.4618;0.0;14.7;15.66;-43.08;11.99;-1.08;23.74;0.0;998.97;56.313;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;12544;2020-11-11 01:31:25:613
-5.2361;-4.971;11.5035;-4.7594;-2.8617;8.0826;-0.4767;-2.1092;3.4209;0.3657;0.5838;0.3665;0.0;14.04;15.18;-42.78;76.48;16.15;28.96;0.0;997.25;64.236;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;13044;2020-11-11 01:31:26:113
-2.3032;2.4989;7.8213;-3.02;2.136;9.0822;0.7168;0.3629;-1.261;-1.0288;0.5744;-0.5377;0.0;12.96;13.8;-43.62;2.33;-12.62;17.66;0.0;1000.52;68.257;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;13544;2020-11-11 01:31:26:613
-6.0885;-2.1219;8.7789;-5.2545;-1.8875;8.0621;-0.834;-0.2344;0.7168;0.5111;-0.2578;0.6858;0.0;13.02;16.2;-42.9;79.74;17.63;31.83;0.0;997.96;60.155;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;14043;2020-11-11 01:31:27:112
-5.1092;-2.7707;9.5547;-3.445;1.4334;9.069;0.0069;0.8501;-0.5008;-2.1055;0.7896;-0.6091;0.0;12.3;14.46;-43.8;12.14;-8.4;20.8;0.0;997.39;57.409;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;14544;2020-11-11 01:31:27:613
-5.0781;-1.0301;9.4254;-4.6884;-0.4457;8.6018;-0.3897;-0.5844;0.8236;1.0666;-0.7369;0.29;0.0;12.6;14.58;-43.68;57.96;9.19;32.13;0.0;997.97;55.159;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;15044;2020-11-11 01:31:28:113
-4.5993;-0.7236;8.5228;-4.557;-0.0293;8.6835;-0.0423;-0.6944;-0.1607;-2.0738;1.1193;-0.7803;0.0;13.62;13.86;-44.28;6.93;-11.33;21.09;0.0;1001.45;64.571;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;15544;2020-11-11 01:31:28:613
-5.7628;-0.975;9.0327;-5.3866;-0.8278;8.1529;-0.3763;-0.1472;0.8798;0.808;-0.4495;0.2692;0.0;14.22;12.48;-44.46;74.52;10.4;35.19;0.0;998.41;51.24;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;16043;2020-11-11 01:31:29:112
-4.312;-0.7069;8.2618;-4.4757;0.2431;8.7223;0.1638;-0.9499;-0.4605;-1.9023;1.1606;-0.8511;0.0;15.3;12.78;-43.38;2.74;-11.88;20.56;0.0;1000.64;59.653;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;16544;2020-11-11 01:31:29:613
-5.5976;-1.3054;8.4629;-5.4971;-0.9805;8.0617;-0.1005;-0.325;0.4012;0.6855;-0.4381;0.5033;0.0;15.9;13.38;-43.44;72.8;11.83;35.22;0.0;997.9;53.843;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;17044;2020-11-11 01:31:30:113
-6.2944;-1.4395;8.8795;-3.9857;1.5352;8.8277;0.6147;0.6717;-1.1213;-1.7401;0.8972;-0.8594;0.0;16.5;15.84;-43.08;5.46;-9.01;24.3;0.0;1000.02;60.95;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;17544;2020-11-11 01:31:30:613
-6.4907;-1.7986;9.3152;-5.2344;-0.6588;8.2666;-1.2562;-1.1398;1.0486;0.9452;-0.8139;0.2418;0.0;16.62;14.64;-43.14;58.28;10.45;34.91;0.0;998.59;51.593;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;18044;2020-11-11 01:31:31:113
-3.4548;-0.1275;8.2546;-4.0174;0.6287;8.9239;0.5626;-0.7562;-0.6693;-1.954;0.9372;-0.7771;0.0;17.16;16.56;-42.12;356.59;-13.3;20.01;0.0;1001.05;62.025;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;18545;2020-11-11 01:31:31:614
-5.9304;-1.7292;9.071;-5.242;-1.122;8.2118;-0.6885;-0.6072;0.8593;0.9425;-0.5161;0.3835;0.0;15.72;15.6;-43.38;65.72;13.61;34.63;0.0;998.13;52.946;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;19044;2020-11-11 01:31:32:113
-3.0526;0.5261;7.7638;-4.0172;0.5366;8.93;0.9646;-0.0104;-1.1662;-1.9255;1.0722;-0.8099;0.0;14.88;16.92;-43.14;359.91;-11.76;19.18;0.0;998.6;62.516;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;19544;2020-11-11 01:31:32:613
-5.43;-0.7787;10.0527;-5.1412;-1.116;8.2761;-0.7773;-0.0386;1.0775;1.4591;-1.3049;0.3795;0.0;14.88;17.4;-43.14;40.06;6.53;31.85;0.0;998.44;56.381;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;20045;2020-11-11 01:31:33:114
-6.7828;-3.0053;9.5618;-5.0434;-1.8643;8.2011;-1.7394;-1.141;1.3607;-1.3867;0.3286;-0.7063;0.0;16.08;18.12;-43.14;14.07;-3.14;26.83;0.0;997.91;62.763;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;20544;2020-11-11 01:31:33:613
-4.0797;0.7129;8.4581;-3.9064;0.6123;8.9742;-0.1734;0.1006;-0.5161;1.5481;-1.363;0.4463;0.0;16.14;19.02;-43.02;32.16;5.99;31.63;0.0;999.31;54.023;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;21050;2020-11-11 01:31:34:119
-7.3119;-4.5687;9.8204;-5.1434;-2.1558;8.0665;-2.1685;-2.413;1.7539;-1.1196;0.368;-0.5281;0.0;15.36;18.9;-43.08;17.5;-0.59;26.97;0.0;997.65;62.594;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;21548;2020-11-11 01:31:34:617
-2.9377;2.214;8.1517;-3.6015;1.3014;9.0281;0.6638;0.9127;-0.8764;1.5366;-0.8874;0.5894;0.0;16.26;19.02;-43.44;30.02;2.8;32.62;0.0;998.45;59.524;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;22044;2020-11-11 01:31:35:113
-6.2201;-4.2264;10.6536;-5.4195;-2.5792;7.7554;-0.8006;-1.6471;2.8982;-0.2394;0.0735;-0.0258;0.0;16.92;19.26;-43.44;49.08;12.79;33.86;0.0;997.65;60.946;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;22544;2020-11-11 01:31:35:613
-3.1292;1.4551;8.8579;-2.9513;2.5712;8.9916;1.1724;1.326;-3.725;-1.1657;0.6386;-0.4301;0.0;16.86;18.48;-43.56;355.32;-15.2;18.17;0.0;1000.85;59.451;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;23044;2020-11-11 01:31:36:113
-6.6439;-1.4922;9.4421;-5.2803;-0.9263;8.2116;-1.3636;-0.5659;1.2305;0.6682;-0.3467;0.6631;0.0;17.4;19.98;-42.54;45.62;11.94;34.66;0.0;997.8;61.019;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;23544;2020-11-11 01:31:36:613
-3.2178;2.1877;7.194;-4.2141;0.3869;8.8466;0.9963;1.8008;-1.6526;-0.6799;0.4647;-0.4147;0.0;17.22;18.78;-42.84;354.98;-14.95;18.28;0.0;1002.22;63.826;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;24045;2020-11-11 01:31:37:114
-4.7692;-0.7955;9.2937;-5.179;-0.5475;8.3095;0.4098;-0.248;0.9842;1.2165;-1.0376;0.3225;0.0;17.22;20.16;-42.48;44.18;10.08;36.99;0.0;998.02;57.958;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;24545;2020-11-11 01:31:37:614
-4.3598;0.3849;8.4366;-4.7453;-0.6739;8.5556;0.3855;1.0587;-0.119;-1.865;0.7345;-0.8788;0.0;16.62;19.08;-42.9;0.87;-10.72;22.09;0.0;997.35;61.135;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;25051;2020-11-11 01:31:38:120
-3.2082;1.1319;8.1469;-4.8719;-0.3619;8.5032;-1.0275;-0.9747;1.5471;1.5199;-1.4344;0.4839;0.0;17.16;18.78;-43.2;44.37;9.1;35.87;0.0;998.07;56.222;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;25544;2020-11-11 01:31:38:613
-6.0142;-3.283;9.016;-4.8772;-1.6056;8.355;-1.4435;-0.9736;0.8645;-0.5068;0.2373;-0.4061;0.0;17.04;18.84;-43.26;31.85;9.42;30.27;0.0;997.65;61.566;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;26044;2020-11-11 01:31:39:113
-1.5227;3.1238;5.0153;-2.8567;2.6758;8.9917;1.334;0.448;-3.9764;1.3862;-0.5555;0.5457;0.0;17.04;18.6;-42.96;6.0;-4.4;24.5;0.0;998.95;51.061;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;26544;2020-11-11 01:31:39:613
-6.8642;-3.477;10.6321;-5.3432;-2.4898;7.8372;-1.521;-0.9872;2.7949;0.1545;-0.0352;-0.0397;0.0;16.26;19.02;-42.54;50.37;12.74;33.61;0.0;997.5;57.928;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;27045;2020-11-11 01:31:40:114
-0.5794;3.8804;5.4725;-2.9013;2.8415;8.9263;2.3219;1.0389;-3.4537;-0.1249;0.0173;-0.2855;0.0;16.62;18.66;-42.78;358.24;-11.11;20.52;0.0;999.73;58.628;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;27546;2020-11-11 01:31:40:615
-4.7166;-2.0381;7.3472;-5.5363;-2.1643;7.7997;0.8197;0.1262;-0.4525;0.5222;0.1025;0.7899;0.0;17.88;19.92;-42.66;55.85;16.3;34.37;0.0;997.74;56.626;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;28044;2020-11-11 01:31:41:113
-4.6831;2.4606;9.1046;-4.1164;2.4167;8.5665;1.059;0.5682;-1.0757;-1.502;0.9201;-0.7393;0.0;18.24;19.38;-42.6;4.59;-14.27;25.67;0.0;998.52;57.577;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;28544;2020-11-11 01:31:41:613
-6.3638;-3.3453;9.2027;-5.9473;-2.4256;7.4106;-0.4165;-0.9197;1.7921;0.5593;-0.0639;0.212;0.0;18.84;18.54;-42.36;31.8;8.43;33.73;0.0;996.71;61.638;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;29044;2020-11-11 01:31:42:113
-3.2417;1.7783;5.961;-4.6661;0.4161;8.6154;1.4243;1.3622;-2.6544;-2.0219;1.1324;-0.8935;0.0;18.06;15.18;-41.46;356.82;-14.28;21.89;0.0;1003.55;64.029;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;29544;2020-11-11 01:31:42:613
-5.6503;-0.2424;8.6113;-5.8523;-0.9222;7.8148;0.202;0.6798;0.7966;0.8882;-0.6613;0.8727;0.0;17.88;13.32;-40.98;48.99;5.4;36.83;0.0;997.59;56.616;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;30044;2020-11-11 01:31:43:113
-4.6543;-0.5608;8.1971;-5.0407;-1.2365;8.3206;0.3863;0.6757;-0.1235;-2.5047;1.6528;-1.4101;0.0;16.44;12.06;-41.52;51.92;7.24;31.21;0.0;997.03;56.239;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;30544;2020-11-11 01:31:43:613
-5.9328;-0.7667;9.2171;-4.9367;0.2621;8.4694;-0.9961;-1.0289;0.7477;1.3907;-1.7739;0.7065;0.0;17.4;15.0;-40.14;18.67;-1.53;30.24;0.0;997.51;47.166;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;31044;2020-11-11 01:31:44:113
-6.9097;-3.6805;10.9696;-5.597;-2.4377;7.6748;-2.0381;-1.2955;2.2702;0.0538;0.0783;-0.025;0.0;18.78;16.26;-40.5;60.33;14.39;36.1;0.0;997.34;62.362;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 17;31544;2020-11-11 01:31:44:613
-0.0982;4.3066;5.2403;-2.7775;3.0578;8.8942;2.6793;1.2488;-3.6538;-0.2442;0.2762;-0.3028;0.0;17.88;14.58;-41.34;354.34;-10.52;20.79;0.0;998.71;44.605;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 17;32044;2020-11-11 01:31:45:113
-7.7309;-2.4882;8.1948;-5.9119;-2.2047;7.5073;-1.819;-0.2835;0.6875;0.8384;0.3537;0.7393;0.0;16.8;14.7;-41.58;81.68;16.86;36.01;0.0;997.5;51.796;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 18;32544;2020-11-11 01:31:45:613
-1.9537;4.1677;6.4278;-2.8691;2.758;8.9628;0.9155;1.4097;-2.535;-0.7148;0.5934;-0.4871;0.0;17.58;14.16;-41.94;350.61;-16.33;17.75;0.0;998.43;45.569;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 18;33044;2020-11-11 01:31:46:113
-8.6287;-2.2152;6.4877;-6.0903;-1.9168;7.4434;-2.5384;-0.2985;-0.9557;0.6972;0.6615;1.0482;0.0;17.64;13.92;-41.46;66.23;11.27;39.29;0.0;997.45;47.165;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;33543;2020-11-11 01:31:46:612
