sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.794;9.7725;1.309;0.4694;7.5278;6.2676;-2.2388;-2.9842;0.2536;2.0126;1.7665;1.7308;0.0;19.32;-15.72;-49.8;319.89;-50.14;-4.28;8.0;997.53;38.977;44.23558;-76.48866;251.61;NaN;;2.12;16.129032;250.0;7 / 25;19;2020-11-11 01:09:39:113
3.1101;3.6218;-6.2878;5.8798;7.8437;-0.2725;-2.7697;-4.2219;-6.0153;-0.6242;-0.1406;-8.0E-4;0.0;8.52;-35.64;-27.48;221.71;-53.11;-92.65;0.0;997.52;63.817;44.23558;-76.48866;251.61;NaN;;2.12;16.129032;250.0;7 / 25;524;2020-11-11 01:09:39:618
2.8276;2.1446;2.7671;7.5871;6.1851;-0.5923;-4.7595;-4.0405;3.3594;2.497;0.122;0.6866;0.0;-9.24;-48.18;-2.4;184.86;-39.1;-94.46;0.0;996.38;59.88;44.23558;-76.48866;251.61;NaN;;2.12;16.129032;250.0;7 / 25;1018;2020-11-11 01:09:40:112
-4.7669;9.7462;2.2308;4.7814;8.4406;-1.4367;-9.5483;1.3056;3.6675;-0.0397;1.9769;1.8171;0.0;-23.76;-45.18;4.62;228.28;-59.4;-106.72;0.0;997.55;62.157;44.23558;-76.48867;254.84;NaN;;0.0;12.903226;;7 / 25;1518;2020-11-11 01:09:40:612
-5.3247;-0.4938;3.313;6.7862;5.6407;-4.2778;10.2773;-1.0923;1.452;0.8384;-0.7337;-0.1228;0.0;-30.48;-40.98;4.86;214.06;-35.11;-122.23;0.0;997.71;66.318;44.23558;-76.48867;254.84;NaN;;0.0;12.903226;;7 / 25;2019;2020-11-11 01:09:41:113
19.6127;16.9456;3.5955;8.3104;5.0637;-1.2108;-9.4453;-5.16;1.3131;-0.5803;-0.3838;0.1619;0.0;-33.18;-38.04;5.7;175.57;-31.09;-98.29;0.0;997.96;61.681;44.23558;-76.48867;254.84;NaN;;0.0;12.903226;;7 / 25;2518;2020-11-11 01:09:41:612
3.9576;-2.8784;-2.6845;8.8032;2.2342;-3.699;-4.8456;-5.1126;1.0145;-3.933;3.4158;1.6488;0.0;-37.62;-34.08;5.28;190.97;-16.47;-103.83;0.0;997.77;59.266;44.23558;-76.48867;254.84;NaN;;0.0;12.903226;;7 / 25;3018;2020-11-11 01:09:42:112
16.5176;16.122;10.2011;6.7572;0.3093;-7.1003;9.7604;15.8127;17.3014;0.3443;-0.1704;-0.5814;0.0;-39.3;-32.16;4.74;218.65;-1.81;-136.42;0.0;997.45;64.721;44.23558;-76.48867;254.84;NaN;;0.0;12.903226;;7 / 25;3519;2020-11-11 01:09:42:613
11.1929;1.309;-10.5255;4.9581;1.177;-8.3786;6.2348;0.132;-2.1469;0.4519;0.8469;-0.4474;0.0;-39.72;-31.56;6.24;227.54;-6.89;-149.38;0.0;997.73;70.143;44.23558;-76.48867;254.84;NaN;;0.0;12.903226;;7 / 25;4018;2020-11-11 01:09:43:112
-0.6823;-0.5991;5.1565;6.0659;0.1405;-7.7042;-6.7482;-0.7396;12.8607;-0.3145;-2.2163;-0.2975;0.0;-39.54;-31.26;7.8;220.91;-0.82;-141.79;0.0;997.81;69.101;44.23558;-76.48867;254.84;NaN;;0.0;12.903226;;7 / 25;4518;2020-11-11 01:09:43:612
